name,metal_pixels,total_pixels,metal_ratio,is_metal,mirror_pixels,mirror_ratio,is_mirror,diffuse_pixels,diffuse_ratio,is_diffuse
st_fabric_065_007,0,4194304,0.0,False,0,0.0,False,1949189,0.4647228717803955,True
th_floor_pavement,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
ms_plastic003_023,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
0161_metal_bolted_square_plate,2333351,4194304,0.55631422996521,True,96456,0.022996902465820312,False,0,0.0,False
acg_planks_014,20172,4194304,0.004809379577636719,False,0,0.0,False,3157863,0.7528932094573975,True
js_tech_polystyrene_001,0,4194304,0.0,False,71,1.6927719116210938e-05,False,3422583,0.8160073757171631,True
1202_ceramic_tile,0,4194304,0.0,False,4194304,1.0,True,0,0.0,False
1561_bucher_tile,2985056,4194304,0.7116928100585938,True,3865471,0.9216001033782959,True,205939,0.04909968376159668,False
tc_tiles_114,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
1565_bucher_tile,2996858,4194304,0.7145066261291504,True,3861775,0.9207189083099365,True,213945,0.05100846290588379,False
acg_bricks_073_a,0,4194304,0.0,False,0,0.0,False,810949,0.193345308303833,False
0906_metal_scratches_rust,3601657,4194304,0.8587019443511963,True,0,0.0,False,4194304,1.0,True
1803_bricks,4194304,4194304,1.0,True,0,0.0,False,2259656,0.5387439727783203,True
acg_bricks_076_b,0,4194304,0.0,False,0,0.0,False,3516121,0.838308572769165,True
0741_biker_leather,0,4194304,0.0,False,0,0.0,False,2550318,0.6080431938171387,True
st_decorative_wall_006,0,4194304,0.0,False,3222,0.0007681846618652344,False,0,0.0,False
tc_tiles_117,0,4194304,0.0,False,0,0.0,False,4192229,0.9995052814483643,True
0614_concrete_063,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
tc_fabric_034,0,4194304,0.0,False,0,0.0,False,4084569,0.97383713722229,True
acg_paving_stones_094,0,4194304,0.0,False,49452,0.011790275573730469,False,253328,0.060398101806640625,False
acg_plastic_013_b,0,4194304,0.0,False,0,0.0,False,99889,0.023815393447875977,False
acg_paving_stones_043,0,4194304,0.0,False,2,4.76837158203125e-07,False,1015096,0.2420177459716797,True
1232_rough_wall_paint,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
ms_gravel_026__grass_003,0,4194304,0.0,False,974572,0.23235607147216797,True,851647,0.2030484676361084,True
acg_bricks_056,0,4194304,0.0,False,62014,0.014785289764404297,False,1744070,0.4158186912536621,True
acg_paving_stones_104,0,4194304,0.0,False,0,0.0,False,4102331,0.978071928024292,True
0967_arcane_arabesque_patterns,1057263,4194304,0.2520711421966553,True,4179939,0.996575117111206,True,0,0.0,False
cgbc_red_leather_001,0,4194304,0.0,False,0,0.0,False,608984,0.14519309997558594,False
st_ceramic_005,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
st_fabric_063_009,0,4194304,0.0,False,0,0.0,False,129259,0.030817747116088867,False
cgbc_black_tiles_007,0,4194304,0.0,False,995827,0.23742365837097168,True,177138,0.04223299026489258,False
ms_paintedplaster002_011,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
cgbc_dirty_metal_weave_004,4097749,4194304,0.9769794940948486,True,1881240,0.44852256774902344,True,111468,0.02657604217529297,False
st_fabric_082,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
js_tactile_blocks_rough,0,4194304,0.0,False,0,0.0,False,71211,0.016978025436401367,False
1372_camouflage_001,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
1032_metal_steel_brushed,4194304,4194304,1.0,True,4194209,0.9999773502349854,True,0,0.0,False
1896_wood_planks_old_beat,0,4194304,0.0,False,0,0.0,False,4181508,0.9969491958618164,True
tc_fabrics_077,0,4194304,0.0,False,0,0.0,False,4194301,0.9999992847442627,True
1115_damaged_broken_wall_v2,0,4194304,0.0,False,68972,0.01644420623779297,False,1955593,0.4662497043609619,True
acg_facade_019_c,2188512,4194304,0.5217819213867188,True,1487449,0.35463547706604004,True,1373662,0.32750654220581055,True
st_false_ceiling_003,0,4194304,0.0,False,703428,0.1677103042602539,False,3354023,0.79966139793396,True
acg_paving_stones_039,0,4194304,0.0,False,0,0.0,False,1428729,0.3406355381011963,True
0444_pw_wood_log,0,4194304,0.0,False,0,0.0,False,1997930,0.47634363174438477,True
1156_fake_croc,0,4194304,0.0,False,0,0.0,False,113390,0.027034282684326172,False
cgbc_paving_stone_009,0,4194304,0.0,False,0,0.0,False,4191931,0.999434232711792,True
1860_hole_mesh,0,4194304,0.0,False,2015736,0.4805889129638672,True,1504482,0.35869646072387695,True
0766_macro_hull,4194304,4194304,1.0,True,116562,0.027790546417236328,False,0,0.0,False
st_ceramic_037,0,4194304,0.0,False,0,0.0,False,0,0.0,False
st_white_fabric_078,0,4194304,0.0,False,0,0.0,False,4194304,1.0,True
cgbc_snow_white_tiles_001,0,4194304,0.0,False,4096385,0.9766542911529541,True,33803,0.008059263229370117,False
acg_wood_086,0,4194304,0.0,False,0,0.0,False,4027472,0.9602241516113281,True
acg_asphalt_014,0,4194304,0.0,False,0,0.0,False,363342,0.08662748336791992,False
th_dirty_concrete,0,4194304,0.0,False,0,0.0,False,4194302,0.9999995231628418,True
ms_ground_068__stylized_15_grass,0,4194304,0.0,False,3,7.152557373046875e-07,False,2043461,0.487199068069458,True
1027_metal_steel_brushed,4194304,4194304,1.0,True,4194304,1.0,True,0,0.0,False
acg_ivory_001_b,0,4194304,0.0,False,4168533,0.9938557147979736,True,0,0.0,False
1435_wood,0,4194304,0.0,False,0,0.0,False,4194287,0.9999959468841553,True
acg_tiles_092,0,4194304,0.0,False,12878,0.003070354461669922,False,4095589,0.9764645099639893,True
1101_damaged_broken_wall_v2,0,4194304,0.0,False,154734,0.03689146041870117,False,1239126,0.29543066024780273,True
1758_embossed_metal,4121710,4194304,0.9826922416687012,True,3258667,0.7769267559051514,True,2362,0.0005631446838378906,False
2167_rockface,0,4194304,0.0,False,135257,0.03224778175354004,False,3253297,0.775646448135376,True
acg_planks_026_c,6674,4194304,0.0015912055969238281,False,0,0.0,False,4194301,0.9999992847442627,True
ms_paving_stones_070__grass_001,0,4194304,0.0,False,4314,0.0010285377502441406,False,519976,0.12397193908691406,False
acg_wood_016,0,4194304,0.0,False,0,0.0,False,595541,0.14198803901672363,False
