name,metal_pixels,total_pixels,metal_ratio,is_metal
st_fabric_065_007,0,4194304,0.0,False
th_floor_pavement,0,4194304,0.0,False
ms_plastic003_023,0,4194304,0.0,False
0161_metal_bolted_square_plate,2333351,4194304,0.55631422996521,True
acg_planks_014,20172,4194304,0.004809379577636719,False
js_tech_polystyrene_001,0,4194304,0.0,False
1202_ceramic_tile,0,4194304,0.0,False
1561_bucher_tile,2985056,4194304,0.7116928100585938,True
tc_tiles_114,0,4194304,0.0,False
1565_bucher_tile,2996858,4194304,0.7145066261291504,True
acg_bricks_073_a,0,4194304,0.0,False
0906_metal_scratches_rust,3601657,4194304,0.8587019443511963,True
1803_bricks,4194304,4194304,1.0,True
acg_bricks_076_b,0,4194304,0.0,False
0741_biker_leather,0,4194304,0.0,False
st_decorative_wall_006,0,4194304,0.0,False
tc_tiles_117,0,4194304,0.0,False
0614_concrete_063,0,4194304,0.0,False
tc_fabric_034,0,4194304,0.0,False
acg_paving_stones_094,0,4194304,0.0,False
acg_plastic_013_b,0,4194304,0.0,False
acg_paving_stones_043,0,4194304,0.0,False
1232_rough_wall_paint,0,4194304,0.0,False
ms_gravel_026__grass_003,0,4194304,0.0,False
acg_bricks_056,0,4194304,0.0,False
acg_paving_stones_104,0,4194304,0.0,False
0967_arcane_arabesque_patterns,1057263,4194304,0.2520711421966553,True
cgbc_red_leather_001,0,4194304,0.0,False
st_ceramic_005,0,4194304,0.0,False
st_fabric_063_009,0,4194304,0.0,False
cgbc_black_tiles_007,0,4194304,0.0,False
ms_paintedplaster002_011,0,4194304,0.0,False
cgbc_dirty_metal_weave_004,4097749,4194304,0.9769794940948486,True
st_fabric_082,0,4194304,0.0,False
js_tactile_blocks_rough,0,4194304,0.0,False
1372_camouflage_001,0,4194304,0.0,False
1032_metal_steel_brushed,4194304,4194304,1.0,True
1896_wood_planks_old_beat,0,4194304,0.0,False
tc_fabrics_077,0,4194304,0.0,False
1115_damaged_broken_wall_v2,0,4194304,0.0,False
acg_facade_019_c,2188512,4194304,0.5217819213867188,True
st_false_ceiling_003,0,4194304,0.0,False
acg_paving_stones_039,0,4194304,0.0,False
0444_pw_wood_log,0,4194304,0.0,False
1156_fake_croc,0,4194304,0.0,False
cgbc_paving_stone_009,0,4194304,0.0,False
1860_hole_mesh,0,4194304,0.0,False
0766_macro_hull,4194304,4194304,1.0,True
st_ceramic_037,0,4194304,0.0,False
st_white_fabric_078,0,4194304,0.0,False
cgbc_snow_white_tiles_001,0,4194304,0.0,False
acg_wood_086,0,4194304,0.0,False
acg_asphalt_014,0,4194304,0.0,False
th_dirty_concrete,0,4194304,0.0,False
ms_ground_068__stylized_15_grass,0,4194304,0.0,False
1027_metal_steel_brushed,4194304,4194304,1.0,True
acg_ivory_001_b,0,4194304,0.0,False
1435_wood,0,4194304,0.0,False
acg_tiles_092,0,4194304,0.0,False
1101_damaged_broken_wall_v2,0,4194304,0.0,False
1758_embossed_metal,4121710,4194304,0.9826922416687012,True
2167_rockface,0,4194304,0.0,False
acg_planks_026_c,6674,4194304,0.0015912055969238281,False
ms_paving_stones_070__grass_001,0,4194304,0.0,False
acg_wood_016,0,4194304,0.0,False
acg_planks_028,1985,4194304,0.00047326087951660156,False
ms_leatherstitch_099,0,4194304,0.0,False
st_ceramic_018,0,4194304,0.0,False
st_white_fabric_073,0,4194304,0.0,False
1992_damaged_painted_brick_wall,0,4194304,0.0,False
tc_rooftop_011,0,4194304,0.0,False
0335_pw_cotton_fabric,0,4194304,0.0,False
js_stone_base_001,0,4194304,0.0,False
th_preconcrete_wall_001,0,4194304,0.0,False
1410_stylized_wood_planks_v2,0,4194304,0.0,False
cgbc_black_tiles_001,0,4194304,0.0,False
ms_ground_070__snow_008_c,0,4194304,0.0,False
0295_concrete_006,0,4194304,0.0,False
acg_asphalt_019,0,4194304,0.0,False
st_bamboo_decorative_wall,0,4194304,0.0,False
ms_leather_020,0,4194304,0.0,False
js_bamboo_001,0,4194304,0.0,False
0961_arcane_arabesque_patterns,1254849,4194304,0.2991793155670166,True
acg_terrazzo_019_m,0,4194304,0.0,False
tc_paper_002,0,4194304,0.0,False
ms_ground_0043__leafy_grass,0,4194304,0.0,False
acg_sign_016,2114,4194304,0.0005040168762207031,False
acg_tiles_022,0,4194304,0.0,False
ms_leatherstitch_068,0,4194304,0.0,False
1810_rural_rock_wall,3076696,4194304,0.7335414886474609,True
acg_wood_032,0,4194304,0.0,False
acg_tiles_054,0,4194304,0.0,False
0278_fabric_padded_wall,4194304,4194304,1.0,True
1666_plastic_base,0,4194304,0.0,False
acg_tiles_003,0,4194304,0.0,False
0181_marco_b_broken_concrete_tiles,0,4194304,0.0,False
ms_paving_stones_080__grass_001,0,4194304,0.0,False
th_container_side,0,4194304,0.0,False
st_concrete_055,0,4194304,0.0,False
0257_grass_paver,17137,4194304,0.0040857791900634766,False
tc_bricks_006,0,4194304,0.0,False
acg_concrete_045,0,4194304,0.0,False
th_castle_wall_varriation,0,4194304,0.0,False
ms_paintedplaster002_068,0,4194304,0.0,False
1264_dark_stone_tiles,2,4194304,4.76837158203125e-07,False
0403_swamp_creature,0,4194304,0.0,False
js_paper_handmade_paper_001,0,4194304,0.0,False
cgbc_parquet_flooring_010,0,4194304,0.0,False
th_white_plaster_rough_002,0,4194304,0.0,False
st_ceramic_028,0,4194304,0.0,False
0354_pw_cotton_fabric,0,4194304,0.0,False
1213_ceramic_tile,0,4194304,0.0,False
0089_stone_floor,0,4194304,0.0,False
1841_concrete_044,0,4194304,0.0,False
ms_paving_stones_019__grass_004,0,4194304,0.0,False
0528_wood_024_walnut,0,4194304,0.0,False
1966_rock_wall_mossy_yet,0,4194304,0.0,False
acg_tiles_129_b,0,4194304,0.0,False
st_pavement_028,0,4194304,0.0,False
acg_sign_011,2114,4194304,0.0005040168762207031,False
0651_church_tiles,0,4194304,0.0,False
